,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
12,hkemaldemircan,,,1993,31,488,157,"Total Returns, last 7 years...
Bitcoin $BTC: +16,986%
NVIDIA $NVDA: +3,614%
Tesla $TSLA: +2,183%
Amazon $AMZN: +649%
Microsoft $MSFT: +631%
Apple $AAPL: +454%
Google $GOOGL: +342%
Nasdaq 100 $QQQ: +220%
Facebook $FB: +127%
Gold $GLD: +54%
Cash $BIL: +5%
Twitter $TWTR: +0%",[]
13,MoquitMalik,"Associate Broker / Realtor ABR, GRI, SRES, MD, VA & Wash, D.C. Evergreen Properties. Network/Systems Engineer MD Terps AAU Unfinished Business Basketball Coach",Greater Washington DC Area ,304,70,6538,0,@RedDogT3 GM will bullish market continue today or will bearish seek to stand on  two legs to seem mighty and strong? $SPY $TWTR $UPS $QQQ $TSLA $MSFT $AAPL Nevertheless let’s rope both the bull &amp; bear and stay on top for maximum gains! Make it a great one and enjoy!,[]
14,Davisadam20,Best discord group over 80k members and even have their own app join here https://t.co/420ael3NgU,,0,14,1354,0,"$AMD $BB $DAL $DOW  $AAPL $ESE $SPCE $FCEL $TRIP $BYND $MRNA $NOK $OXY $CCL $CRM $DGLY $HTZ  $GMBL $FB $CHPT

options alerts 90% success rate 🙏
https://t.co/JJHC0f4421 https://t.co/d2gDV690D6",[]
15,Davisadam20,Best discord group over 80k members and even have their own app join here https://t.co/420ael3NgU,,0,14,1354,0,"Couple of stats and quotes for the week ahead.

Join our discord: 
https://t.co/JJHC0f4421

$ES_F $NQ_F $YM_F $SPY $SPX $QQQ $TLT $FB $AMZN $AAPL $NVDA $NFLX $GOOGL $TSLA $XLK $XLE $XLF https://t.co/CnabKTzij7",[]
16,Davisadam20,Best discord group over 80k members and even have their own app join here https://t.co/420ael3NgU,,0,14,1354,0,"We find the 100% runners BEFORE the crowd!
Chatroom:
https://t.co/JJHC0f4421

$ACB $NVAX $MRNA $CGC $DKNG $AAL $SAVE $UAL $WORK $PLAY $DOCU $PD $GPS $MDB  $AAPL https://t.co/KSHCWQXuuc",[]
17,SimonsKyra,Old,,308,54,1205,7,You see how nasdaq is up in the fake bid. Brutal and pure savageness. She bleeds this week big time. Hold all shorts on tech $QQQ and the singles $AAPL $AMZN $FB $MSFT $GOOGL $NVDA,[]
18,Davisadam20,Best discord group over 80k members and even have their own app join here https://t.co/420ael3NgU,,0,14,1354,0,"Top Chatroom

Join for both FREE &amp; PREMIUM SERVICE!
https://t.co/JJHC0f4421

$SPX $SPY $AMZN $AAPL $AMD $FB $SHOP $BYND $NVDA $GOOGL $MSFT $TSLA $BA $CMG $INTC $NFLX $JPM $BAC $YM https://t.co/npdjWwOgv8",[]
19,bizz_alex,King of the Castle.,London / NYC,564,45,337,2,"That was another wild ride yesterday in US equities!  To prepare you for what will be the principal sentiment-drivers the rest of the week, this is a chart providing some metrics on the #FAMAG stocks: $FB, $AAPL, $MSFT, $AMZN and $GOOG. https://t.co/oSWZUl2fdk",[]
20,nn45dOqeTcYmd5c,무념무상,,33,0,298,733,"#earnings for the week 

https://t.co/lObOE0dgsr 

$FB $AAPL $MSFT $AMZN $PYPL $GOOGL $KO $UPS $ATVI $TWTR $XOM $BA $F $GE $SPOT $PEP $ROKU $MMM $CVX $QCOM $VLO $RTX $CL $INTC $JBLU $V $WM $CAT $NOK $LUV $GM $DHI $HOOD $ENPH $CVE $MA $ABBV $OTIS $PHG $CMG $MCD $MRK $DORM $X $ADM https://t.co/Q2N0mmLZyB",['earnings']
21,Tom080418,,,75,14,360,19,"Trade plan for Tuesday ✅

$SPX if we see a break through 4300 we should see a bounce towards 4342-4350. Calls can work above 4300

$NVDA needs back through 200 to test 205-208. Calls can work above 200

$AAPL if it gets back to 167 before earnings possible to see 177 by Friday",[]
22,Tom080418,,,75,14,360,11,"🔥JUICY TRIGGER WL🔥
⚔️TRADE THE PLAN⚔️ #PRESSIT 
$TSLA CALLS&gt;1008.64📈📉PUTS&gt;974
$AMD CALLS&gt;91.35📈📉PUTS&lt;88.62
$NVDA CALLS&gt;199.47📈
$UBER CALLS&gt;32.50📈
$MSFT CALLS&gt; 281.10📈
$AAPL CALLS&gt;163.16📈 https://t.co/mV0VfbF8sH",['PRESSIT']
23,InvestmentSwami,"I AM THE INVESTMENT SWAMI, I AM HERE TO HELP EDUCATE , INFORM, ADVISE AND DIRECT YOU TOWARDS THE MOST DYNAMIC OPPORTUNITIES THAT PRESENT THEMSELVES NOW & LATER",,1266,420,4170,0,POSSIBLE MOVERS FOR TUESDAY APRIL 26/22🚨🚀🚨 $CEI $MULN $KAVL $RMED $CIDM $AAPT $BFRI $BFRIW $SPRB $OCGN $CEI $TSLA $AMC $GME $CLOV $BB $FCEL $DATS $PTON $JMIA $NU $DOGE $HBAR $AMZN $MSFT $HOOD $NIO $FB $RIOT $MARA $SOS $PROG $KULR $BFRI $TWTR $MSFT $AAPL $BTC $AVGO $INTC $ADBE https://t.co/A2FiErtInK,[]
24,Davisadam20,Best discord group over 80k members and even have their own app join here https://t.co/420ael3NgU,,0,14,1354,0,"20 days free trial available
Discord link below
https://t.co/JJHC0f4421

 $GRIL $JAGX $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $ACHV $ABUS $TLRY $KODK https://t.co/VKd7U8gfx4",[]
25,Ugo_AAPL,"👨‍💻- Lover | 🏃Marathoner | 🧗‍♂️Sport Climber | 📷, pushing the shutter button, sometimes | PC Modder | Also, proudly 🏳️‍🌈.",The internets.,312,172,14113,0,"@AndrewHartAR But, Is it? 😄 (I live in tech &amp; cryptography + a spoon of anarchism Twitter 😄).",[]
26,fintwit_tracker,Tracking trending stocks among the most influential traders on #fintwits,"Miami, FL",655,8515,25638,0,"Trending Stocks on #fintwit: 

Source: https://t.co/cWJOwWSb0I 

1. $SPY 🥇
2. $TSLA 🥈
3. $AAPL 🥉
4. $MSFT
5. $AMZN
6. $NFLX
7. $FB
8. $GOOGL
9. $ES_F
10. $UVXY

( Sorted by most recent ) https://t.co/Iblg6a6pwI",['fintwit']
27,MacHashNews,"Up to the minute Apple news. The best Mac and iOS rumors, apps and more in one feed. #Apple $AAPL From @GlassWaveApps",Designed in California,3677,1899,102736,0,Apple @ Work Podcast: Google Workspace integration will drive the use of Managed Apple IDs https://t.co/WsTHJbUeEQ $AAPL https://t.co/kHegtqn4WE,[]
28,Gambiste1,"Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. retweets are not endorsment. Find hot stocks with @GambisteFinance.",,0,15990,1731850,1,"Trending Stocks on #fintwit: 

1. $RIBT 🥇
2. $TWTR 🥈
3. $TSLA 🥉
4. $SPX
5. $DXY
6. $QQQ
7. $AAPL
8. $SPY
9. $MSFT
10. $NTDOY

#investing #stocks #wallstreetbets",['fintwit']
29,ActuTrades,"Actuary by day, derivatives trader by night","London, England",345,68,182,0,"Earnings Expected Moves

Thursday

Twitter $TWTR | Expected Move: 10.2% | 
Recent moves: -3%, -11%, +3%

Apple $AAPL | Expected Move: 4.9% | 
Recent moves: +7%, -2%, -1%

Amazon $AMZN | Expected Move: 6.1% | 
Recent moves: +14%, -2%, -8%

#Actutrades",['Actutrades']
30,zixol22,artist,,94,80,1206,157,"Total Returns, last 7 years...
Bitcoin $BTC: +16,986%
NVIDIA $NVDA: +3,614%
Tesla $TSLA: +2,183%
Amazon $AMZN: +649%
Microsoft $MSFT: +631%
Apple $AAPL: +454%
Google $GOOGL: +342%
Nasdaq 100 $QQQ: +220%
Facebook $FB: +127%
Gold $GLD: +54%
Cash $BIL: +5%
Twitter $TWTR: +0%",[]
31,Ugo_AAPL,"👨‍💻- Lover | 🏃Marathoner | 🧗‍♂️Sport Climber | 📷, pushing the shutter button, sometimes | PC Modder | Also, proudly 🏳️‍🌈.",The internets.,312,172,14113,0,"Lol

When law people imagine how code works, 🤪. https://t.co/qs3mzAqlWY",[]
32,Makemeproud082,Always strive and prosper,,721,132,109,8,"𝗝𝗮𝗺-𝗣𝗮𝗰𝗸𝗲𝗱 🇺🇸 #𝗲𝗮𝗿𝗻𝗶𝗻𝗴𝘀 𝗪𝗲𝗲𝗸 𝗔𝗵𝗲𝗮𝗱 🚨

𝘖𝘯 𝘵𝘩𝘦 𝘌𝘢𝘴𝘺𝘙𝘦𝘴𝘦𝘢𝘳𝘤𝘩 𝘞𝘢𝘵𝘤𝘩𝘭𝘪𝘴𝘵 🔥

Mon: $KO $ATVI
Tue: $UPS $GOOGL $MSFT $V $GM $GE
Wed: $BA $FB $SPOT $PYPL $TDOC
Thu: $TWTR $AAPL $AMZN $HOOD

#𝗜𝗻𝘃𝗲𝘀𝘁𝗼𝗿𝘀𝗢𝗳𝗧𝗵𝗲𝗚𝗮𝗹𝗮𝘅𝘆 https://t.co/HZa1QOK8ZG",['𝗲𝗮𝗿𝗻𝗶𝗻𝗴𝘀']
33,ValkaniosGram,"Vivere pericolosamente, Dark Matter Enthusiast, OCBD
Absolutely maybe
I'm only human",Αγίας Θέκλας & Φωκίωνος Νέγρη,1524,1531,55501,157,"Total Returns, last 7 years...
Bitcoin $BTC: +16,986%
NVIDIA $NVDA: +3,614%
Tesla $TSLA: +2,183%
Amazon $AMZN: +649%
Microsoft $MSFT: +631%
Apple $AAPL: +454%
Google $GOOGL: +342%
Nasdaq 100 $QQQ: +220%
Facebook $FB: +127%
Gold $GLD: +54%
Cash $BIL: +5%
Twitter $TWTR: +0%",[]
34,entrepreneuer1,"Do hard things to have an easy life

Not a financial advisor",,78,174,1138,0,"Strength does not come from winning. Your struggles develop your strengths.

$twtr $dwac $nktx $ko $rbdx $ups $avdl $cydy $agrx $ge $whr $sbfm $ater $vntr $kss $cdns $hsbc $nnox $aapl $amd $bac",[]
35,DefinitionBot,"Stock Mentions on Twitter

Trading Pro System Plus🆕 → https://t.co/5r7K1VqGg4",,3,752,2887,0,"Count of mentions for the tickers in last 1 hr

1. $TSLA: 89 (-10)
2. $AMC: 52 (-2)
3. $AAPL: 31 (0)
4. $AMZN: 31 (12)
5. $MSFT: 30 (-1)
6. $FB: 30 (13)
7. $NIO: 23 (3)
8. $NVDA: 11 (-3)

Top speaker: @rattibha 🚀 $TSLA",[]
36,abuzgram,Som sagt man er ik som folk er flest. | Crypto & Stock | investor | Politisk kritiker | Documenting political news/issues | 🇷🇺 |,"Copenhagen, Denmark",385,255,5778,157,"Total Returns, last 7 years...
Bitcoin $BTC: +16,986%
NVIDIA $NVDA: +3,614%
Tesla $TSLA: +2,183%
Amazon $AMZN: +649%
Microsoft $MSFT: +631%
Apple $AAPL: +454%
Google $GOOGL: +342%
Nasdaq 100 $QQQ: +220%
Facebook $FB: +127%
Gold $GLD: +54%
Cash $BIL: +5%
Twitter $TWTR: +0%",[]
37,FatherFranklins,Day trader💲Iron addict🏋🏻‍♀️ | Personal DD posted here | Not financial advice🗣 |,"Savannah, GA",234,396,1732,0,"🚨WATCHLIST!🚨
Expected moves: 🚀
$WMT ± $3.62😮‍💨
$NFLX ± $13.55👀
$SQ ± $9.79(HIGH IV) 😮‍💨
$AAPL ± $9.08👀
Green level- idea entries 🟢
Blue levels- price targets 🎯
*Im buying WEEKLY exp on cons with the MOST volume in the expected range* ✍️ https://t.co/qAKd3K90Hn",[]
38,entrepreneuer1,"Do hard things to have an easy life

Not a financial advisor",,78,174,1138,0,"you are not fighting against others traders, you are fighting against your emotions!

$twtr $dwac $nktx $ko $rbdx $qk $ups $avdl $cydy $agrx $ge $whr $sbfm $ater $vntr $kss $cdns $hsbc $nnox $aapl $amd $bac $nvda $f $vale $itub $Nio $vz $snap $bbd $et $nok $nly $clf $sofi $didi",[]
39,OlympuTock,Ascend the mountain of #investing and stock #trading with us behind you.  It’s all about the climb 📈 🏔️,,177,92,135,0,"@commandenteSD $AAPL, always $AAPL. ""Oh I shouldn't have sold, why did I sell?!""",[]
40,Ugo_AAPL,"👨‍💻- Lover | 🏃Marathoner | 🧗‍♂️Sport Climber | 📷, pushing the shutter button, sometimes | PC Modder | Also, proudly 🏳️‍🌈.",The internets.,312,172,14113,0,R’Amen! https://t.co/4IOiuOVsdi,[]
41,soloalam1,"Everything is going be great Tomorrow 
   Stay Strong - Stay Positive ❤🍎❤ 
                Together we can.... JUST DO BETTER !",,1993,1752,32893,13,Tomorrow after the market closes $MSFT $GOOG $V all report $FB on Wednesday and $AAPL $AMZN $INTC $MC $MCD on Thursday.  That is about 40% (weighted) on the $QQQ .... https://t.co/Q55MmRx5b0,[]
42,Gambiste1,"Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. retweets are not endorsment. Find hot stocks with @GambisteFinance.",,0,15990,1731850,1,Anyone else have this voice in their head??? 🤦‍♂️ $GME $AMC $SNDL $PLTR $SOS $ZOM $NAKD $CTRM $AAPL $NIO $TSLA $GNUS $HMBL $INND https://t.co/sQV1U7F8aO,[]
43,SmartOptionsAi,Million Dollar Option Trades Data Sent Directly to Your Phone.,,72,6652,110027,0,"How To Manage Your Capital As a Profitable Options Trader.

https://t.co/gmsBxl9Tk9

$spy $tsla $aapl",[]
44,Ugo_AAPL,"👨‍💻- Lover | 🏃Marathoner | 🧗‍♂️Sport Climber | 📷, pushing the shutter button, sometimes | PC Modder | Also, proudly 🏳️‍🌈.",The internets.,312,172,14113,0,"@GossiTheDog @TeslaPodcast I mean, they’d still need to at least repay part of these investors’ money.",[]
45,thedave2006,"TSX, TSXV investor. Learn from others while letting you know my market experiences.
Flyers, Jays, Raptors fan. Enjoyed all their championships.
Not from BNN.",Canada,4241,6560,150198,14,"$SPX is headed higher into the next 54/56 TD high, which means the bounce should continue into at least Thursday. Given the washout this cycle is more likely to revert to 56 TD which means a high on May 2, but it will depend on AAPL and AMZN earnings on Thursday after the close. https://t.co/ljA5I472rg",[]
46,Ugo_AAPL,"👨‍💻- Lover | 🏃Marathoner | 🧗‍♂️Sport Climber | 📷, pushing the shutter button, sometimes | PC Modder | Also, proudly 🏳️‍🌈.",The internets.,312,172,14113,2,"And the award for ""most unecessary app of the decade"" goes to... https://t.co/XFenn786CZ",[]
47,newsfilterio,"Run by investors, for investors.

Real-time:
PRs
Gov. contract awards
Earnings
M&As
FDA approvals
Insider trades
SEC filings
And more

Not investment advice","New York, NY",179,22668,1060155,0,Apple - Time To Take Another Bite $AAPL https://t.co/lS3YKVQ6BT,[]
48,MacHashNews,"Up to the minute Apple news. The best Mac and iOS rumors, apps and more in one feed. #Apple $AAPL From @GlassWaveApps",Designed in California,3677,1899,102736,0,Beginner's Guide to Seven Mortal Sins X-TASY https://t.co/aP28INGnxL $AAPL https://t.co/k3ARAMFZop,[]
49,Ugo_AAPL,"👨‍💻- Lover | 🏃Marathoner | 🧗‍♂️Sport Climber | 📷, pushing the shutter button, sometimes | PC Modder | Also, proudly 🏳️‍🌈.",The internets.,312,172,14113,0,"Read that! 

(It’s probably from @/evacide 😉). https://t.co/2ZTT8LQePB",[]
50,3TriggersTrader,"up or down, no1 knows. the levels of my calls will never touch the wall!
the bunch of NUMBERS minute-by-minute telling Uwat2do ...
BUY ABOVE & SELL BELOW","New Germany, South Africa",330,977,164284,0,$SPY 453.on-the-cards ... in case of $AAPL $MSFT $TSLA,[]
51,JohnCarlos,"Digital Publisher & Influencer in tech, food, soccer & skiing. Love Peruvian Cuisine? Then follow us at https://t.co/NuVv0EYjUq. Also https://t.co/Qafz7QJmaC","Burlingame, CA",6577,5975,110059,13,Tomorrow after the market closes $MSFT $GOOG $V all report $FB on Wednesday and $AAPL $AMZN $INTC $MC $MCD on Thursday.  That is about 40% (weighted) on the $QQQ .... https://t.co/Q55MmRx5b0,[]
52,BlaqPips,B U S I N E S S & F I N A N C E 🎳,,648,236,6182,5,"Most active stocks in today's pre market trading

Twitter $TWTR
Wells Fargo $WFC
Apple $AAPL
JPMorgan $JPM
Carvana $CVNA
Pfizer $PFE
Citi $C
Berkshire $BRK.B
Howmet $HWM
Coca-Cola $KO
DR Horton $DHI
Schwab $SCHW
Tesla $TSLA
Morgan $MS
Nvidia $NVDA
Huntington $HBAN
$USB
$AMD",[]
53,Iamanirudhsethi,"Global Financial Analyst  - Motivator Ph.D -Human Psychology Trading Coach ,Author of 7 Books ,Trading and Analysis since 1992 
https://t.co/pduKeJ9hUc…","Gujarat, India",4192,52761,90407,1,"Total Returns, last 7 years...
Bitcoin $BTC: +16,986%
NVIDIA $NVDA: +3,614%
Tesla $TSLA: +2,183%
Amazon $AMZN: +649%
Microsoft $MSFT: +631%
Apple $AAPL: +454%
Google $GOOGL: +342%
Nasdaq 100 $QQQ: +220%
Facebook $FB: +127%
Gold $GLD: +54%
Cash $BIL: +5%
Twitter $TWTR: +0%",[]
54,AppleRetweetBot,Bot that retweets tweets containing #Apple | By: @Romanio0089 | @XiaomiRTBot,,2,698,82681,1,"🔥🔥 Automated Hourly $AAPL 🍎 Sentiment Report (📈 / 📉) 🔥🔥
1. Product Series Reviews:
#iPhones 57/145
#Mac #Macbook 85/104
#iPad 53/48
#AppleWatch 52/75
#MacOS #iOS 72/35
General #Apple Products 36/80
2. Company News: 350/300
3. Social Media: 63/48
04/26/2022 09:07 UTC","['iPhones', 'Mac', 'Macbook']"
55,AAPLinsights,A deep learning implemented NLP sentiment engine for AAPL. Sentiment score is provided in the format of Positive_Sentiment_Score / Negative_Sentiment_Score.,,61,42,2683,1,"🔥🔥 Automated Hourly $AAPL 🍎 Sentiment Report (📈 / 📉) 🔥🔥
1. Product Series Reviews:
#iPhones 57/145
#Mac #Macbook 85/104
#iPad 53/48
#AppleWatch 52/75
#MacOS #iOS 72/35
General #Apple Products 36/80
2. Company News: 350/300
3. Social Media: 63/48
04/26/2022 09:07 UTC","['iPhones', 'Mac', 'Macbook', 'iPad', 'AppleWatch', 'MacOS', 'iOS', 'Apple']"
56,LydiaBr49823604,Most profitable chat room . We’re operating at an 94% success history with an average profit of 25% in 4 days.. Get today winning alerts*,,64,4,882,0,"$AAPL ~Earnings reports today before the markets open.,........... https://t.co/EauaBnZDUc",[]
57,fintwit_tracker,Tracking trending stocks among the most influential traders on #fintwits,"Miami, FL",655,8515,25638,0,"Trending Stocks on #fintwit: 

Source: https://t.co/cWJOwWSb0I 

1. $TSLA 🥇
2. $SPY 🥈
3. $AAPL 🥉
4. $MSFT
5. $AMZN
6. $NFLX
7. $FB
8. $GOOGL
9. $ES_F
10. $UVXY

( Sorted by most recent ) https://t.co/cmPD5uUDCo",['fintwit']
58,CryptoI10257503,"Check out our community of real traders helping each other profit. Education, live lessons, alerts, and more.
https://t.co/1oj9okrJ09",,0,58,23832,0,"$AAPL   Guys, Don't miss the next move in a few hours.,...~
https://t.co/zqGskOKhdC",[]
59,newsfilterio,"Run by investors, for investors.

Real-time:
PRs
Gov. contract awards
Earnings
M&As
FDA approvals
Insider trades
SEC filings
And more

Not investment advice","New York, NY",179,22668,1060155,0,Pros And Cons Of Investing In Netflix Stock $AAPL $AMZN $DIS $TSLA $WBD https://t.co/bOfgY3cVKo,[]
60,Josephburms,"I tweet about trading, financial markets, & financial freedom. I also share what I find inspiring & motivating. I am a trader & the founder of https://t.co/QiCTcYCUSA",Tennessee USA ,23,12,239,22,"Big earnings week: 

$FB $AAPL $MSFT $AMZN $PYPL $GOOGL $KO $UPS $ATVI $TWTR $XOM $BA $F $GE $SPOT $PEP $ROKU $MMM $CVX $QCOM $VLO $RTX $CL $INTC $JBLU $V $WM $CAT $NOK $LUV $GM $DHI $HOOD $ENPH $CVE $MA $ABBV $OTIS $PHG $CMG $MCD $MRK $DORM $X $ADM https://t.co/kIzX51YqaG",[]
61,LydiaBr49823604,Most profitable chat room . We’re operating at an 94% success history with an average profit of 25% in 4 days.. Get today winning alerts*,,64,4,882,0,"$AAPL ~Earnings reports today before the markets open.,.......... https://t.co/EauaBnZDUc",[]
62,veei_k,"You will always see people on social media telling you much money they made. They may have done, but they won’t tell how much they lost, when they lose it.","Fukuoka City, Fukuoka",971,14,11953,1,"Which one of these is the greatest acquisition of all time?
$FB $GOOG $AAPL $MSFT",[]
63,genuine_impact,"Use our app to research more than 15,000 stocks and ETFs in 2 minutes. Download for free now 👇","London, England",88,354,827,0,"Revenue is expected to be $49 billion, a 17.4% YoY increase, and EPS of $2.18 are expected, 11.8% higher than last year. $MSFT is down 5% in the last three months, but is still worth $2.1 trillion, and is the second largest company in the world, behind only $AAPL",[]
64,rinodo2,Another winning alert based on our custom ThinkorSwim script.  🔗  https://t.co/vkSzBk2I2z,,1,0,20,0,$aapl    Another winning alert based on our custom ThinkorSwim script.  🔗  https://t.co/PUyhHTazMV,[]
65,CryptoI10257503,"Check out our community of real traders helping each other profit. Education, live lessons, alerts, and more.
https://t.co/1oj9okrJ09",,0,58,23832,0,"$AAPL  Guys, Don't miss the next move in a few hours.,...~
https://t.co/zqGskOKhdC",[]
66,Gambiste1,"Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. retweets are not endorsment. Find hot stocks with @GambisteFinance.",,0,15990,1731850,9,"TODAYs Recap!🔥

$DWAC puts 185%💰💵🔥
$ZIM puts 133%💰💵🔥
$DWAC puts overnight 105%💰💵🔥
$NFLX puts paid 60%💵🔥

🚨SHOW LOVE🚨
🔁60 Retweets For TOMORROWs FREE PICKS!

$SPY $TSLA $SHOP $AMZN $ROKU $NFLX $AAPL $NVDA $AMD $UPST $LCID https://t.co/hbxaBCM6Dx",[]
67,Gambiste1,"Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. retweets are not endorsment. Find hot stocks with @GambisteFinance.",,0,15990,1731850,9,"TODAYs Recap!

$FB puts paid 190%💰💵🔥
$QCOM puts paid 170%💰💵🔥
$SHOP puts paid 90%💵🔥
$UAL calls paid 75%🔥
$CPNG puts paid 70%🔥

🚨SHOW LOVE🚨
🔁60 Retweets For MONDAYs FREE PICKS!

$SPY $TSLA $SHOP $AMZN $ROKU $NFLX $AAPL $NVDA $AMD $UPST $LCID https://t.co/bkQB0VF4z7",[]
68,nitlott3n,,"Stockholm, Sverige",257,39,912,733,"#earnings for the week 

https://t.co/lObOE0dgsr 

$FB $AAPL $MSFT $AMZN $PYPL $GOOGL $KO $UPS $ATVI $TWTR $XOM $BA $F $GE $SPOT $PEP $ROKU $MMM $CVX $QCOM $VLO $RTX $CL $INTC $JBLU $V $WM $CAT $NOK $LUV $GM $DHI $HOOD $ENPH $CVE $MA $ABBV $OTIS $PHG $CMG $MCD $MRK $DORM $X $ADM https://t.co/Q2N0mmLZyB",['earnings']
69,brandonmscales,,,3229,11,812878,15,"$AAPL 50% Crash to 80?
#AAPL #Stock #stocks #market #investing 

AAPL on verge of crash https://t.co/LxZkzJzv7d","['AAPL', 'Stock', 'stocks', 'market', 'investing']"
